F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,PO3,O1,PO4,O2,F9,F10,Fp2,Label
7.822721741609275,5.361559615421575,3.756110044270754,2.9460759818181397,1.4304941302351653,0.5107674714177847,0.49983267286082994,0.3651243031024933,-0.8266780404234305,-1.8392930554784834,-0.9177607899531722,-0.8683809887804091,-1.676403134353459,-2.682514459192753,-2.1539884595852343,-1.717563251252286,-1.8938782797567546,-2.635035399440676,-2.150906205121428,-1.8252791658230125,-2.719038855293766,-2.5251839657872917,-2.8935365685168652,-2.1927331431955097,-1.8959029696136713,-2.5128789673373104,-2.51164608951658,0.3372347681573592,-1.8531977185700088,22.689347236156465,0
6.472232224904001,5.768139423578978,3.475212571378797,2.810920326206833,1.6952884127222934,0.7902540946466615,0.8524684054031968,0.1378228320926428,-0.5185898891463876,-1.5570130879106001,-0.548108549201861,-0.7033215590193868,-1.5338684891955927,-2.687468732818961,-1.7825950610637664,-1.7419003272475675,-1.9265393474698067,-2.0106685678102076,-1.8419332113023847,-1.9963833811704534,-3.0606276984140277,-2.717456113882363,-2.5149006128311155,-2.4607708204910157,-1.9111001836508512,-2.7327492525801063,-2.4981688513001425,0.32085308715701105,-1.1736369769228623,18.917846038118004,0
5.3085205305740235,4.402023803875782,2.57317850664258,3.392106991223991,1.1322624307125806,0.8949776004254818,0.39913763221353293,0.2603284209035337,-1.1612200593110173,-1.0376077076792718,-1.106027916520834,-0.7255632037855685,-0.7613843222334981,-2.2299588966788724,-2.0568437126185746,-1.727220384234097,-1.4765864073485135,-1.201876569930464,-1.7262029705569149,-1.8461918493546545,-2.8167865942046046,-1.9156915180943905,-1.8220222820341587,-2.2028994261659682,-1.4815872765798122,-1.8300982108153403,-1.7905521673709155,-0.07040725380182267,-1.3206015216186642,17.352694806158542,0
4.562413076981902,3.28798127008602,2.2315793501515873,2.4648680635541678,1.0553992487763753,-0.5597749448288232,0.22390279652550815,0.444661927446723,-0.29726908706128596,-2.0967953504435717,-0.8743687006644905,-0.6393665501847863,-0.5520973269699607,-1.761616220511496,-1.193261217996478,-1.5707342731580138,-1.2101711879298092,-1.0130124936066567,-1.7640471600554883,-1.5612764811958186,-2.5096945676580074,-1.3404242843203247,-1.0639411914534866,-1.9358736616931855,-1.3483349330257623,-1.033049776079133,-1.2122666982904775,0.12458574031421449,-1.0070337136927991,14.617939500603825,0
3.776404324825853,0.72567822012119,1.4350784204714,1.394384072367102,0.474990623210324,0.8284386760741472,-0.17268891425803304,0.20174622236285358,-0.15523898685351015,-0.6317544880509377,-0.7067955497279763,-0.720256880139932,-0.2650844812206924,-1.1080842737294734,-0.5726905357185751,-1.5438131562498165,-1.1292886617779732,-0.6048072923533618,-1.247454894669354,-1.5400133594404906,-2.3050232299603524,-1.0490120291151106,-0.23004578061401845,-1.8424864905327558,-1.2048861405998468,-0.7972289905510843,-0.8729491902142763,0.9894053085520863,-0.9308990476280451,10.81650058016181,0
2.308657589182258,2.115449915584177,0.9482618716917932,0.6392073343880474,0.40728874390479175,1.1860931435786188,-0.06954265050590039,-0.12230979192769155,-0.057012245568912476,0.2741414071805775,-0.22430243592709304,-0.7079438712261618,-0.438095761500299,-0.00331099484115839,-0.8300194144295528,-1.0969140215031803,-0.9830593927297742,-0.5456624327972531,-0.9388536172080785,-1.317280567381531,-1.7698753421753646,-0.7538531811209396,-0.157420884501189,-1.6953242573374883,-1.2012796241417527,-0.506546429246664,-0.8263991337269545,0.6496577963326127,-0.7309620251413435,7.5693732845038175,0
1.177576455976814,1.914797224290669,0.4087812626454979,0.13917992487549782,0.9543462481815368,0.3174556902050972,-0.12745814899913965,-0.08020035583060235,0.03559339687228203,-0.3359691362828016,-0.02532105948776007,-0.39366845570504666,-0.07234763655811548,-0.4966681005060673,-0.5763169629499316,-0.6378403029125184,-0.5372602091100999,0.7553000632300972,-1.1492423913348466,-1.1242236173013225,-1.2241512503288687,-0.29963402354158464,-0.15120582273229957,-1.5276734851300717,-1.2241785296797751,-0.35792331501841546,-0.9719826180208474,0.49822649219073356,0.048684471528977154,4.988158768042922,0
0.36819839959032835,-0.9287381185917184,0.04171560023911297,1.4269086607778445,0.3586682918295264,0.7083757912926376,-0.3510703657194972,0.32610078881494703,0.44407635455951094,0.6576908046752215,-0.4097299508168362,0.14845749150961637,0.5688542414363473,0.022130560586228965,-0.5883384786546231,-0.22409710343927144,0.0345383538492024,-0.06561316233128309,-1.3471715000644326,-0.8178118013124913,-0.5893700180202722,-0.15100154662504792,-0.03966784256044775,-1.0353123993240296,-1.056028607244807,-0.3818830039747991,-0.6589333136053755,0.7307942653633654,-0.14577535018324853,2.4719522263109686,0
-1.1152330153807997,0.5988024299032986,-0.02827488916926086,0.4003222317993641,-0.22888550388626755,1.0505283193290234,0.027542294956510886,0.16834447637200356,0.869955379627645,-0.07694096467806957,0.1648269745055586,0.39342048135586083,0.4218596057966352,0.19482189042581013,0.36260877214372156,0.2526614450663328,0.4710174208506942,-0.006202086992561817,-1.0144560267869382,-0.061242180671542884,0.09228918297216296,-0.019491789946332574,-0.48063866902142766,-0.32724360525608065,-0.8344655491039157,-0.3736393541749567,-0.5491518492251635,-0.11019873712211847,-0.3287735879421234,-0.3330870323628187,0
-1.078548914361745,-1.0183262166846543,-0.23152046889066696,0.14419506462290882,-0.2541271867696196,-0.8956717120483517,0.18300678508356213,0.6832013787701726,0.6505612858012318,-0.1256023490522057,0.4210806345939636,0.7625229058857076,1.253387774657458,0.3728225628146902,0.9254546761885285,0.7585964084044099,0.9331490283901803,0.4224184986203909,-0.6162376802414655,0.6188211537152529,0.6410877108015121,0.021592045114375652,-0.5967371079325676,0.15003817159682512,-0.5606837066635489,-0.7677189483121037,-0.8698314020136604,-0.5184899768047034,-0.09108341629151255,-2.058421853259206,0
